branch,head_sha,base_branch,base_sha,pr_number,pr_state,draft,commits_ahead_main,latest_ci,module_count,purpose,contains_application_code,contains_migrations,contains_security_changes,contains_api_changes,contains_business_data,classification,canonical_source_candidate,notes
feature/crm-facade-api-v1,5a089bbf955f602280a43337db2d63ae7d09a33d,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,3,Validate Odoo custom addons:success,0,feat(integration): define Codestra CRM fabric v2,NO,NO,NO,NO,NO,DUPLICATE,NO,same tip: feature/automation-outbox-v1;feature/communication-history-v1;feature/consent-projection-v1;feature/contact-center-automation-v1;feature/crm-facade-api-v1;integration/codestra-crm-fabric-v2;test/crm-fabric-contracts-v1
feature/middleware-bridge,35d87740ac76458e3652b7d71ba2a2a6da2d8893,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,0,Validate Odoo custom addons:success,0,chore: bootstrap secure Odoo 19 GitOps repository (#1),NO,NO,NO,NO,NO,DUPLICATE,NO,same tip: feature/campaign-control-plane;feature/crm-call-followup;feature/middleware-bridge;main
feature/reminder-popout,7689d74eb7cd620a181a056255219dc521a05e99,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,7,NO_CHECKS,33,fix(reminders): support Odoo 19 frontend runtime,YES,YES,YES,YES,YES,NEEDS_SELECTIVE_PORT,NO,
feature/scheduler-popout,32bc467daa4f6d57536ffc266017b342622045af,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,8,NO_CHECKS,33,fix(scheduler): use Odoo 19 user API,YES,YES,YES,YES,YES,NEEDS_SELECTIVE_PORT,NO,
fix/cc-11-production-readiness,6dc403350da71962af28603c0bdf2e73f7f6821e,fix/cc-login-layout-website-compat,84f80cbc978bc5941836474c6569f87b1c0031d8,25,OPEN,TRUE,38,Validate Odoo source head:SUCCESS;Validate Odoo merge result:SUCCESS;Validate Odoo main push:SKIPPED;Test Odoo 19 and PostgreSQL runtime:SUCCESS;Test merged Odoo 19 and PostgreSQL runtime:SKIPPED,59,fix(cc): unify callbacks and add scheduling pop-outs,YES,YES,YES,YES,YES,SUPERSEDED,NO,
fix/cc-login-layout-website-compat,84f80cbc978bc5941836474c6569f87b1c0031d8,release/cc-10-staging-certification,23c50d7c9bd56b1b0dbc7f73cc4d3ab00aa53a81,21,OPEN,TRUE,33,Validate Odoo source head:SUCCESS;Validate Odoo merge result:SUCCESS;Validate Odoo main push:SKIPPED;Test Odoo 19 and PostgreSQL runtime:SUCCESS;Test merged Odoo 19 and PostgreSQL runtime:SKIPPED,59,fix(login): preserve Codestra authentication layout with Odoo website,YES,YES,YES,YES,YES,SUPERSEDED,NO,
import/server-odoo-20260828,2eb05cf479f3b4edd162f03197349a76c488d0cd,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,3,NO_CHECKS,67,capture: record sanitized live Odoo baseline,YES,YES,YES,YES,YES,SERVER_CAPTURE,NO,
integration/codestra-crm-fabric-v2,5a089bbf955f602280a43337db2d63ae7d09a33d,integration/n8n-automation-contract-v2-20260827,393a7c671018dfed2dedaf95b0adb1598ec4f5a9,20,OPEN,TRUE,3,Validate Odoo custom addons:SUCCESS,0,feat(integration): add the Odoo 19 Codestra CRM fabric v2,NO,NO,NO,NO,NO,DUPLICATE,NO,same tip: feature/automation-outbox-v1;feature/communication-history-v1;feature/consent-projection-v1;feature/contact-center-automation-v1;feature/crm-facade-api-v1;integration/codestra-crm-fabric-v2;test/crm-fabric-contracts-v1
integration/n8n-automation-contract-v2-20260827,393a7c671018dfed2dedaf95b0adb1598ec4f5a9,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,7,OPEN,TRUE,2,Validate Odoo custom addons:SUCCESS,0,docs(integration): define Middleware-only n8n CRM contract,NO,NO,NO,NO,NO,DOCUMENTATION_ONLY,NO,
integration/n8n-automation-v2,c651553c72c7af130575de4b2128e1a63d9f5844,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,6,OPEN,TRUE,1,Validate Odoo custom addons:SUCCESS,0,docs(integration): define Odoo n8n automation handoff v2,NO,NO,NO,NO,NO,DOCUMENTATION_ONLY,NO,
integration/n8n-middleware-automation-contract-v1,ad5bfbfa747a995bd2142d5cc5ebf5e007fc289e,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,2,Validate Odoo main push:skipped;Validate Odoo source head:success;Validate Odoo merge result:success,0,ci: validate source head and merge result separately,NO,NO,NO,NO,NO,DUPLICATE,NO,same tip: architecture/middleware-write-boundary;integration/n8n-middleware-automation-contract-v1
integration/scrapper-turnkey-projection-v1,f8e55d8a4bd32df885d67011a70d4836ab03eca1,architecture/middleware-write-boundary,ad5bfbfa747a995bd2142d5cc5ebf5e007fc289e,22,OPEN,TRUE,11,scrapper-projection:FAILURE;scrapper-projection:FAILURE;Validate Odoo source head:SUCCESS;Validate Odoo merge result:SUCCESS;Validate Odoo main push:SKIPPED,0,integration: Odoo 19 scrapper projection and receipts,NO,NO,YES,NO,NO,NEEDS_SELECTIVE_PORT,NO,
main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,0,Validate Odoo custom addons:success,0,chore: bootstrap secure Odoo 19 GitOps repository (#1),NO,NO,NO,NO,NO,DOCUMENTATION_ONLY,NO,same tip: feature/campaign-control-plane;feature/crm-call-followup;feature/middleware-bridge;main
reconcile/odoo-canonical-source-v1,241bf799efac3ce4d1677e43d11d701492dc8cc2,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,38,OPEN,FALSE,10,Validate Odoo source head:SUCCESS;secret-and-source-security:SUCCESS;Validate Odoo merge result:SUCCESS;dependency-review:SUCCESS;Validate Odoo main push:SKIPPED;Test Odoo 19 and PostgreSQL runtime:FAILURE;Test merged Odoo 19 and PostgreSQL runtime:SKIPPED,67,Reconcile Odoo canonical source v1,YES,YES,YES,YES,YES,CANONICAL_CANDIDATE,YES,
release/cc-10-staging-certification,23c50d7c9bd56b1b0dbc7f73cc4d3ab00aa53a81,test/cc-09-security-load-migrations,1dde88bfdae58352e061a5f66cb5096b7c7204da,19,OPEN,TRUE,19,Validate Odoo source head:SUCCESS;Validate Odoo merge result:SUCCESS;Validate Odoo main push:SKIPPED;Test Odoo 19 and PostgreSQL runtime:FAILURE;Test merged Odoo 19 and PostgreSQL runtime:SKIPPED,59,CC-10: Add manual immutable source candidate and isolated-staging certification boundary,YES,YES,YES,YES,YES,SUPERSEDED,NO,
test/cc-09-security-load-migrations,1dde88bfdae58352e061a5f66cb5096b7c7204da,feature/cc-08-ai-agent-assistant,a2558ec9726f222828803142e33f19556608a5ee,18,OPEN,TRUE,18,Validate Odoo source head:SUCCESS;Validate Odoo merge result:SUCCESS;Validate Odoo main push:SKIPPED;Test Odoo 19 and PostgreSQL runtime:FAILURE;Test merged Odoo 19 and PostgreSQL runtime:SKIPPED,59,"CC-09: Add fail-closed security, API, migration, browser, and load evidence gates",YES,YES,YES,YES,YES,SUPERSEDED,NO,
test/cc-cross-campaign-certification,720e9e2e46d75b60396833850c0ae888c0fd8dd1,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,117,Test exact Odoo 19 and PostgreSQL branch runtime:success;Test Odoo 19 and PostgreSQL runtime:skipped;Validate Odoo merge result:skipped;Validate Odoo source head:skipped;Validate exact Odoo branch push:success,77,docs(cc): retain cross-campaign certification evidence,YES,YES,YES,YES,YES,TEST_ONLY,NO,
test/crm-fabric-contracts-v1,5a089bbf955f602280a43337db2d63ae7d09a33d,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,3,Validate Odoo custom addons:success,0,feat(integration): define Codestra CRM fabric v2,NO,NO,NO,NO,NO,DUPLICATE,NO,same tip: feature/automation-outbox-v1;feature/communication-history-v1;feature/consent-projection-v1;feature/contact-center-automation-v1;feature/crm-facade-api-v1;integration/codestra-crm-fabric-v2;test/crm-fabric-contracts-v1
test/popout-suite-integration,79ba5f2460d0a8c541f9cf9c084cb87ba72ed802,main,35d87740ac76458e3652b7d71ba2a2a6da2d8893,,NO_PR,,13,NO_CHECKS,35,fix(click-to-call): support Odoo 19 asset runtime,YES,YES,YES,YES,YES,TEST_ONLY,NO,
